QB,RB,RB,WR,WR,WR,TE,FX,DST,Salary,Projection
QB5,RB1,RB2,WR1,WR2,WR10,TE1,TE2,DST1,44300,120.3
QB5,RB1,RB2,WR1,WR2,WR10,TE1,TE3,DST1,44500,122.4
QB5,RB1,RB2,WR1,WR2,WR11,TE1,TE2,DST1,44500,121.8
QB5,RB1,RB3,WR1,WR2,WR10,TE1,TE2,DST1,44600,121.6
QB5,RB1,RB2,WR1,WR2,WR10,TE2,TE3,DST1,44700,121.3
QB5,RB1,RB2,WR1,WR2,WR11,TE1,TE3,DST1,44700,123.9
QB5,RB1,RB2,WR1,WR2,WR12,TE1,TE2,DST1,44700,125.8
QB5,RB1,RB3,WR1,WR2,WR10,TE1,TE3,DST1,44800,123.7
QB5,RB1,RB3,WR1,WR2,WR11,TE1,TE2,DST1,44800,123.1
QB5,RB1,RB4,WR1,WR2,WR10,TE1,TE2,DST1,44800,123.2
QB5,RB1,RB2,WR1,WR2,WR11,TE2,TE3,DST1,44900,122.8
QB5,RB1,RB2,WR1,WR2,WR12,TE1,TE3,DST1,44900,127.9
QB5,RB1,RB2,WR1,WR2,WR13,TE1,TE2,DST1,44900,122.8
QB5,RB2,RB3,WR1,WR2,WR10,TE1,TE2,DST1,44900,123.7
QB5,RB1,RB3,WR1,WR2,WR10,TE2,TE3,DST1,45000,122.6
QB5,RB1,RB3,WR1,WR2,WR11,TE1,TE3,DST1,45000,125.2
QB5,RB1,RB3,WR1,WR2,WR12,TE1,TE2,DST1,45000,127.1
QB5,RB1,RB4,WR1,WR2,WR10,TE1,TE3,DST1,45000,125.3
QB5,RB1,RB4,WR1,WR2,WR11,TE1,TE2,DST1,45000,124.7
QB5,RB1,RB5,WR1,WR2,WR10,TE1,TE2,DST1,45000,122.2
QB5,RB1,RB2,WR1,WR2,WR12,TE2,TE3,DST1,45100,126.8
QB5,RB1,RB2,WR1,WR2,WR13,TE1,TE3,DST1,45100,124.9
QB5,RB1,RB2,WR1,WR2,WR14,TE1,TE2,DST1,45100,125.8
QB5,RB2,RB3,WR1,WR2,WR10,TE1,TE3,DST1,45100,125.8
QB5,RB2,RB3,WR1,WR2,WR11,TE1,TE2,DST1,45100,125.2
QB5,RB2,RB4,WR1,WR2,WR10,TE1,TE2,DST1,45100,125.3
QB5,RB1,RB3,WR1,WR2,WR11,TE2,TE3,DST1,45200,124.1
QB5,RB1,RB3,WR1,WR2,WR12,TE1,TE3,DST1,45200,129.2
QB5,RB1,RB3,WR1,WR2,WR13,TE1,TE2,DST1,45200,124.1
QB5,RB1,RB4,WR1,WR2,WR10,TE2,TE3,DST1,45200,124.2
QB5,RB1,RB4,WR1,WR2,WR11,TE1,TE3,DST1,45200,126.8
QB5,RB1,RB4,WR1,WR2,WR12,TE1,TE2,DST1,45200,128.7
QB5,RB1,RB5,WR1,WR2,WR10,TE1,TE3,DST1,45200,124.3
QB5,RB1,RB5,WR1,WR2,WR11,TE1,TE2,DST1,45200,123.7
QB5,RB1,RB6,WR1,WR2,WR10,TE1,TE2,DST1,45200,125.2
QB5,RB1,RB2,WR1,WR2,WR13,TE2,TE3,DST1,45300,123.8
QB5,RB1,RB2,WR1,WR2,WR14,TE1,TE3,DST1,45300,127.9
QB5,RB1,RB2,WR1,WR2,WR15,TE1,TE2,DST1,45300,126.8
QB5,RB2,RB3,WR1,WR2,WR10,TE2,TE3,DST1,45300,124.7
QB5,RB2,RB3,WR1,WR2,WR11,TE1,TE3,DST1,45300,127.3
QB5,RB2,RB3,WR1,WR2,WR12,TE1,TE2,DST1,45300,129.2
QB5,RB2,RB4,WR1,WR2,WR10,TE1,TE3,DST1,45300,127.4
QB5,RB2,RB4,WR1,WR2,WR11,TE1,TE2,DST1,45300,126.8
QB5,RB2,RB5,WR1,WR2,WR10,TE1,TE2,DST1,45300,124.3
QB5,RB1,RB2,WR1,WR2,WR10,TE1,TE6,DST1,45400,124.2
QB5,RB1,RB3,WR1,WR2,WR12,TE2,TE3,DST1,45400,128.1
QB5,RB1,RB3,WR1,WR2,WR13,TE1,TE3,DST1,45400,126.2
QB5,RB1,RB3,WR1,WR2,WR14,TE1,TE2,DST1,45400,127.1
QB5,RB1,RB4,WR1,WR2,WR11,TE2,TE3,DST1,45400,125.7
QB5,RB1,RB4,WR1,WR2,WR12,TE1,TE3,DST1,45400,130.8
QB5,RB1,RB4,WR1,WR2,WR13,TE1,TE2,DST1,45400,125.7
QB5,RB1,RB5,WR1,WR2,WR10,TE2,TE3,DST1,45400,123.2
QB5,RB1,RB5,WR1,WR2,WR11,TE1,TE3,DST1,45400,125.8
QB5,RB1,RB5,WR1,WR2,WR12,TE1,TE2,DST1,45400,127.7
QB5,RB1,RB6,WR1,WR2,WR10,TE1,TE3,DST1,45400,127.3
QB5,RB1,RB6,WR1,WR2,WR11,TE1,TE2,DST1,45400,126.7
QB5,RB3,RB4,WR1,WR2,WR10,TE1,TE2,DST1,45400,126.6
QB5,RB1,RB2,WR1,WR2,WR10,TE1,TE7,DST1,45500,129.2
QB5,RB1,RB2,WR1,WR2,WR14,TE2,TE3,DST1,45500,126.8
QB5,RB1,RB2,WR1,WR2,WR15,TE1,TE3,DST1,45500,128.9
QB5,RB1,RB2,WR1,WR2,WR16,TE1,TE2,DST1,45500,127.2
QB5,RB2,RB3,WR1,WR2,WR11,TE2,TE3,DST1,45500,126.2
QB5,RB2,RB3,WR1,WR2,WR12,TE1,TE3,DST1,45500,131.3
QB5,RB2,RB3,WR1,WR2,WR13,TE1,TE2,DST1,45500,126.2
QB5,RB2,RB4,WR1,WR2,WR10,TE2,TE3,DST1,45500,126.3
QB5,RB2,RB4,WR1,WR2,WR11,TE1,TE3,DST1,45500,128.9
QB5,RB2,RB4,WR1,WR2,WR12,TE1,TE2,DST1,45500,130.8
QB5,RB2,RB5,WR1,WR2,WR10,TE1,TE3,DST1,45500,126.4
QB5,RB2,RB5,WR1,WR2,WR11,TE1,TE2,DST1,45500,125.8
QB5,RB2,RB6,WR1,WR2,WR10,TE1,TE2,DST1,45500,127.3
QB5,RB1,RB2,WR1,WR2,WR10,TE2,TE6,DST1,45600,123.1
QB5,RB1,RB2,WR1,WR2,WR11,TE1,TE6,DST1,45600,125.7
QB5,RB1,RB3,WR1,WR2,WR13,TE2,TE3,DST1,45600,125.1
QB5,RB1,RB3,WR1,WR2,WR14,TE1,TE3,DST1,45600,129.2
QB5,RB1,RB3,WR1,WR2,WR15,TE1,TE2,DST1,45600,128.1
QB5,RB1,RB4,WR1,WR2,WR12,TE2,TE3,DST1,45600,129.7
QB5,RB1,RB4,WR1,WR2,WR13,TE1,TE3,DST1,45600,127.8
QB5,RB1,RB4,WR1,WR2,WR14,TE1,TE2,DST1,45600,128.7
QB5,RB1,RB5,WR1,WR2,WR11,TE2,TE3,DST1,45600,124.7
QB5,RB1,RB5,WR1,WR2,WR12,TE1,TE3,DST1,45600,129.8
QB5,RB1,RB5,WR1,WR2,WR13,TE1,TE2,DST1,45600,124.7
QB5,RB1,RB6,WR1,WR2,WR10,TE2,TE3,DST1,45600,126.2
QB5,RB1,RB6,WR1,WR2,WR11,TE1,TE3,DST1,45600,128.8
QB5,RB1,RB6,WR1,WR2,WR12,TE1,TE2,DST1,45600,130.7
QB5,RB3,RB4,WR1,WR2,WR10,TE1,TE3,DST1,45600,128.7
QB5,RB3,RB4,WR1,WR2,WR11,TE1,TE2,DST1,45600,128.1
QB5,RB3,RB5,WR1,WR2,WR10,TE1,TE2,DST1,45600,125.6
QB5,RB1,RB2,WR1,WR2,WR10,TE2,TE7,DST1,45700,128.1
QB5,RB1,RB2,WR1,WR2,WR11,TE1,TE7,DST1,45700,130.7
