Player,Number of Rosters,Percent of Rosters
DST1,356550,24.59
DST2,324165,22.35
DST3,309425,21.34
DST4,266368,18.37
DST5,193614,13.35
QB1,645838,44.54
QB2,351574,24.24
QB3,228786,15.78
QB4,168029,11.59
QB5,55895,3.85
RB1,590925,40.75
RB12,191545,13.21
RB13,128825,8.88
RB14,95536,6.59
RB15,21694,1.5
RB16,19785,1.36
RB17,16103,1.11
RB2,528240,36.43
RB3,467433,32.23
RB4,429540,29.62
RB5,393410,27.13
RB6,359036,24.76
TE1,541033,37.31
TE10,80644,5.56
TE2,438994,30.27
TE3,401038,27.66
TE6,277743,19.15
TE7,262879,18.13
TE8,172811,11.92
TE9,92883,6.41
WR1,881690,60.8
WR10,461200,31.8
WR11,424228,29.25
WR12,388855,26.82
WR13,354816,24.47
WR14,322410,22.23
WR15,291428,20.1
WR16,261799,18.05
WR17,184402,12.72
WR18,124417,8.58
WR19,78053,5.38
WR2,829982,57.24
WR20,37477,2.58
