Projections,Number of Rosters,Percent of Rosters
173.0,1,0.0001
172.0,4,0.0003
171.7,1,0.0001
171.6,1,0.0001
171.4,3,0.0002
171.1,2,0.0001
171.0,3,0.0002
170.7,2,0.0001
170.6,5,0.0003
170.5,1,0.0001
170.4,3,0.0002
170.2,2,0.0001
170.1,7,0.0005
170.0,9,0.0006
169.7,5,0.0003
169.6,11,0.0008
169.5,7,0.0005
169.4,9,0.0006
169.3,1,0.0001
169.2,4,0.0003
169.1,19,0.0013
169.0,19,0.0013
168.9,4,0.0003
168.8,3,0.0002
168.7,12,0.0008
168.6,20,0.0014
168.5,11,0.0008
168.4,15,0.001
168.3,2,0.0001
168.2,12,0.0008
168.1,26,0.0018
168.0,50,0.0034
167.9,10,0.0007
167.8,7,0.0005
167.7,18,0.0012
167.6,37,0.0026
167.5,29,0.002
167.4,25,0.0017
167.3,5,0.0003
167.2,19,0.0013
167.1,57,0.0039
167.0,72,0.005
166.9,23,0.0016
166.8,12,0.0008
166.7,46,0.0032
166.6,66,0.0046
166.5,64,0.0044
166.4,43,0.003
166.3,15,0.001
166.2,39,0.0027
166.1,99,0.0068
166.0,113,0.0078
165.9,42,0.0029
165.8,18,0.0012
165.7,68,0.0047
165.6,111,0.0077
165.5,100,0.0069
165.4,67,0.0046
165.3,23,0.0016
165.2,72,0.005
165.1,152,0.0105
165.0,169,0.0117
164.9,70,0.0048
164.8,41,0.0028
164.7,95,0.0066
164.6,185,0.0128
164.5,143,0.0099
164.4,105,0.0072
164.3,43,0.003
164.2,119,0.0082
164.1,230,0.0159
164.0,252,0.0174
163.9,114,0.0079
163.8,88,0.0061
163.7,166,0.0114
163.6,261,0.018
163.5,229,0.0158
163.4,138,0.0095
163.3,78,0.0054
163.2,176,0.0121
163.1,335,0.0231
163.0,352,0.0243
162.9,184,0.0127
162.8,119,0.0082
162.7,252,0.0174
162.6,383,0.0264
162.5,337,0.0232
162.4,219,0.0151
162.3,130,0.009
162.2,250,0.0172
162.1,453,0.0312
162.0,492,0.0339
161.9,249,0.0172
161.8,193,0.0133
161.7,347,0.0239
161.6,558,0.0385
161.5,479,0.033
161.4,291,0.0201
161.3,217,0.015
161.2,413,0.0285
161.1,629,0.0434
161.0,649,0.0448
160.9,372,0.0257
160.8,289,0.0199
160.7,497,0.0343
160.6,729,0.0503
160.5,674,0.0465
160.4,373,0.0257
160.3,308,0.0212
160.2,576,0.0397
160.1,869,0.0599
160.0,840,0.0579
159.9,554,0.0382
159.8,418,0.0288
159.7,712,0.0491
159.6,984,0.0679
159.5,879,0.0606
159.4,508,0.035
159.3,422,0.0291
159.2,791,0.0545
159.1,1133,0.0781
159.0,1104,0.0761
158.9,739,0.051
158.8,650,0.0448
158.7,948,0.0654
158.6,1315,0.0907
158.5,1124,0.0775
158.4,701,0.0483
158.3,598,0.0412
158.2,1066,0.0735
158.1,1452,0.1001
158.0,1422,0.0981
157.9,986,0.068
157.8,847,0.0584
157.7,1261,0.087
157.6,1676,0.1156
157.5,1537,0.106
157.4,900,0.0621
157.3,830,0.0572
157.2,1389,0.0958
157.1,1853,0.1278
157.0,1767,0.1219
156.9,1294,0.0892
156.8,1088,0.075
156.7,1673,0.1154
156.6,2091,0.1442
156.5,1914,0.132
156.4,1156,0.0797
